Lake,Date,Cage,Species,HW,OWPL,I_F,
Fayetteville,11/13/2017,18,ENEX,5.5,4.4,F,
Fayetteville,11/13/2017,18,ENEX,5.3,2.8,F,
Fayetteville,11/13/2017,18,ENEX,5.9,4.7,F,
Fayetteville,11/13/2017,18,ENEX,5.3,2.3,F,
Fayetteville,11/13/2017,18,ENEX,5,2.8,F,
Fayetteville,11/13/2017,18,ENVE,6.5,5,F,
Fayetteville,11/13/2017,18,ENVE,6.3,4.5,F,
Fayetteville,11/13/2017,18,ENVE,5.8,3.5,F,
Fayetteville,11/13/2017,18,ENVE,6,4.7,F,
Fayetteville,11/13/2017,18,ENVE,6.1,4.7,F,
Fayetteville,11/13/2017,18,ENVE,6.5,4.2,F,
Fayetteville,11/13/2017,18,ENVE,7,5.1,F,
Fayetteville,11/13/2017,18,ENVE,5.5,2.8,F,
Fayetteville,11/13/2017,18,ENVE,6.7,4.9,F,
Fayetteville,11/13/2017,16,ENTR,5.5,3.2,F,Changed ENEX to ENTR
Fayetteville,11/13/2017,16,ENTR,5.9,4.9,F,Changed ENEX to ENTR
Fayetteville,11/13/2017,16,ENTR,6.2,4.3,F,Changed ENEX to ENTR
Fayetteville,11/13/2017,16,ENTR,5.5,2.5,F,Changed ENEX to ENTR
Fayetteville,11/13/2017,16,ENTR,5.6,4.9,F,Changed ENEX to ENTR
Fayetteville,11/13/2017,16,ENVE,5.8,3.3,F,
Fayetteville,11/13/2017,16,ENVE,6.6,4.3,F,
Fayetteville,11/13/2017,16,ENVE,5.4,3.3,F,
Fayetteville,11/13/2017,16,ENVE,6.8,4.6,F,
Fayetteville,11/13/2017,16,ENVE,6.8,5.2,F,
Fayetteville,11/13/2017,16,ENVE,5.4,2.8,F,
Fayetteville,11/13/2017,16,ENVE,6.9,4.5,F,
Fayetteville,11/13/2017,16,ENVE,6.6,4.8,F,
Fayetteville,11/13/2017,16,ENVE,5.2,2.7,F,
Fayetteville,11/13/2017,16,ENVE,5.5,3,F,
Fayetteville,11/13/2017,16,ENVE,6.7,5,F,
Fayetteville,11/13/2017,16,ENVE,4.6,2.7,F,
Fayetteville,11/13/2017,16,ENVE,5.8,3.1,F,
Fayetteville,11/13/2017,16,ENVE,6.7,5.1,F,
Fayetteville,11/13/2017,13,ENVE,6.1,3.6,F,
Fayetteville,11/13/2017,13,ENVE,7.2,5.3,F,
Fayetteville,11/13/2017,13,ENVE,6.5,5.2,F,
Fayetteville,11/13/2017,13,ENEX,6.5,4.4,F,
Fayetteville,11/13/2017,13,ENEX,5.3,2.6,F,
Fayetteville,11/13/2017,13,ENEX,5.3,2.6,F,
Fayetteville,11/13/2017,13,ENEX,6.1,4.5,F,
Fayetteville,11/13/2017,13,ENEX,5.5,2.5,F,
Fayetteville,11/13/2017,13,ENEX,6,4.8,F,
Fayetteville,11/13/2017,13,ENEX,4.9,2.7,F,
Fayetteville,11/13/2017,13,ENEX,5.1,2.7,F,
Fayetteville,11/13/2017,13,ENEX,6.6,4.9,F,
Fayetteville,11/13/2017,5,ENTR,5,2.7,F,
Fayetteville,11/13/2017,5,ENTR,6.4,4.5,F,
Fayetteville,11/13/2017,5,ENTR,6.7,5,F,
Fayetteville,11/13/2017,5,ENTR,4.9,2,F,
Fayetteville,11/13/2017,5,ENTR,3.8,1,F,
Fayetteville,11/13/2017,5,ENTR,5.5,2.4,F,
Fayetteville,11/13/2017,5,ENTR,6.3,4.7,F,
Fayetteville,11/13/2017,5,ENTR,4.8,2.5,F,
Fayetteville,11/13/2017,5,ENTR,6.4,4.8,F,
Fayetteville,11/13/2017,5,ENVE,6.8,5,F,
Fayetteville,11/13/2017,5,ENVE,6.5,5.2,F,
Fayetteville,11/13/2017,5,ENVE,5.8,2.9,F,
Fayetteville,11/13/2017,5,ENVE,6.1,4.9,F,
Fayetteville,11/13/2017,13,ENEX,5.2,3.1,F,
Fayetteville,11/13/2017,13,ENEX,6.4,4.5,F,
Fayetteville,11/13/2017,13,ENEX,4.6,2.5,F,
Fayetteville,11/13/2017,13,ENEX,6.2,4.6,F,
Fayetteville,11/13/2017,13,ENEX,5.4,2.6,F,
Fayetteville,11/13/2017,5,ENTR,6.5,4.5,F,
Fayetteville,11/13/2017,5,ENTR,6.2,4,F,
Fayetteville,11/13/2017,5,ENTR,6.6,4.4,F,
Fayetteville,11/13/2017,21,ENVE,6.5,4.5,F,
Fayetteville,11/13/2017,21,ENVE,6.9,5.3,F,
Fayetteville,11/13/2017,21,ENVE,7.1,5.2,F,
Fayetteville,11/13/2017,21,ENVE,6.7,4.4,F,
Fayetteville,11/13/2017,21,ENVE,7,4.6,F,
Fayetteville,11/13/2017,21,ENTR,6.4,4.6,F,
Fayetteville,11/13/2017,21,ENTR,5.4,3,F,
Fayetteville,11/13/2017,21,ENTR,5.1,2.6,F,
Fayetteville,11/13/2017,21,ENTR,6.6,5.2,F,
Fayetteville,11/13/2017,21,ENTR,5,2.6,F,
Fayetteville,11/13/2017,21,ENTR,6.3,4.3,F,
Fayetteville,11/13/2017,21,ENTR,6.2,5.1,F,
Fayetteville,11/13/2017,21,ENTR,6.9,5,F,
Fayetteville,11/13/2017,21,ENTR,6.3,3.2,F,
Fayetteville,11/13/2017,21,ENTR,6,4.9,F,
Fayetteville,11/13/2017,21,ENTR,5.9,4.9,F,
Fayetteville,11/13/2017,24,ENEX,5.1,2.7,F,
Fayetteville,11/13/2017,24,ENEX,4.8,2.8,F,
Fayetteville,11/13/2017,24,ENEX,5.2,3,F,
Fayetteville,11/13/2017,24,ENEX,5.5,3,F,
Fayetteville,11/13/2017,24,ENEX,6.5,4.5,F,
Fayetteville,11/13/2017,24,ENEX,6,4.5,F,
Fayetteville,11/13/2017,24,ENEX,5.1,2.3,F,
Fayetteville,11/13/2017,24,ENEX,6.7,4.7,F,
Fayetteville,11/13/2017,24,ENEX,6.6,4.7,F,
Fayetteville,11/13/2017,24,ENEX,6.4,4.3,F,
Fayetteville,11/13/2017,24,ENEX,6.7,5,F,
Fayetteville,11/13/2017,24,ENEX,5.4,2.8,F,
Fayetteville,11/13/2017,24,ENVE,7,5,F,
Fayetteville,11/13/2017,24,ENVE,6.3,4.9,F,
Fayetteville,11/13/2017,24,ENVE,6.5,4.6,F,
Fayetteville,11/13/2017,24,ENVE,6.8,4.9,F,
Fayetteville,11/13/2017,24,ENVE,6.9,4.8,F,
Fayetteville,11/13/2017,2,ENTR,6.8,4.9,F,
Fayetteville,11/13/2017,2,ENTR,6.6,5.5,F,
Fayetteville,11/13/2017,2,ENTR,5.3,2.7,F,
Fayetteville,11/13/2017,2,ENEX,5.2,2.4,F,
Fayetteville,11/13/2017,2,ENEX,5.4,2.8,F,
Fayetteville,11/13/2017,2,ENEX,6.6,4.5,F,
Fayetteville,11/13/2017,2,ENEX,5.6,2.8,F,
Fayetteville,11/13/2017,2,ENEX,6.4,4.5,F,
Fayetteville,11/13/2017,2,ENEX,6.6,4.6,F,
Fayetteville,11/13/2017,2,ENEX,5.3,2.5,F,
Fayetteville,11/13/2017,2,ENEX,5.2,2.5,F,
Fayetteville,11/13/2017,2,ENEX,6.4,4.7,F,
Fayetteville,11/13/2017,2,ENEX,6.4,4.5,F,
Fayetteville,11/13/2017,2,ENEX,6.1,5,F,
Fayetteville,11/13/2017,2,ENEX,6.2,4.5,F,
Fayetteville,11/13/2017,2,ENEX,6,4.7,F,
Fayetteville,11/13/2017,7,ENEX,5,3.1,F,
Fayetteville,11/13/2017,7,ENEX,6.7,4.8,F,
Fayetteville,11/13/2017,7,ENEX,5.2,2.6,F,
Fayetteville,11/13/2017,7,ENEX,5.3,2.4,F,
Fayetteville,11/13/2017,7,ENEX,6.5,4.8,F,
Fayetteville,11/13/2017,7,ENTR,6.5,5.4,F,
Fayetteville,11/13/2017,7,ENTR,6.4,5,F,
Fayetteville,11/13/2017,7,ENTR,6.1,4.6,F,
Fayetteville,11/13/2017,7,ENTR,6.2,4.7,F,
Fayetteville,11/13/2017,7,ENTR,5.3,2.6,F,
Fayetteville,11/13/2017,7,ENTR,6.1,4.6,F,
Fayetteville,11/13/2017,7,ENTR,4.7,2.4,F,
Fayetteville,11/13/2017,7,ENTR,5.2,2.7,F,
Fayetteville,11/13/2017,7,ENTR,4,1.7,F,
Fayetteville,11/13/2017,7,ENTR,6.8,5.1,F,
Fayetteville,11/13/2017,7,ENTR,6.8,5,F,
Fayetteville,11/13/2017,7,ENTR,6.6,4.7,F,
Fayetteville,11/13/2017,7,ENTR,6.7,4.9,F,
Fayetteville,11/13/2017,20,ENVE,6.7,4.6,F,
Fayetteville,11/13/2017,20,ENVE,6.7,4.8,F,
Fayetteville,11/13/2017,20,ENVE,7,5.4,F,
Fayetteville,11/13/2017,20,ENVE,6.6,5,F,
Fayetteville,11/13/2017,20,ENVE,7,5.2,F,
Fayetteville,11/13/2017,20,ENVE,6.7,4.6,F,
Fayetteville,11/13/2017,20,ENVE,5.8,3.4,F,
